S.No,Primary Vulnerability,Exploit,Result,Code
52,Unsafe Consumption of APIs,Validated External API Usage,Good,"from flask import Flask, jsonify
import requests
import os
app = Flask(__name__)

EXTERNAL_API_KEY = os.environ.get('EXTERNAL_API_KEY')
TRUSTED_HOSTS = ['api.trusted-partner.com']

@app.route('/external-data')
def get_external():
    try:
        response = requests.get(
            'https://api.trusted-partner.com/data',
            headers={{'Authorization': f'Bearer {{EXTERNAL_API_KEY}}'}},
            timeout=10,
            verify=True
        )
        response.raise_for_status()
        
        data = response.json()
        validated_data = validate_and_sanitize(data)
        return jsonify(validated_data)
    except Exception as e:
        logging.error(f""External API error: {{e}}"")
        return jsonify({{""error"": ""Service unavailable""}}), 503

if __name__ == '__main__':
    app.run()"
53,Server Side Request Forgery,URL Validation and Allowlist,Good,"from flask import Flask, request, jsonify
import requests
from urllib.parse import urlparse
app = Flask(__name__)

ALLOWED_HOSTS = ['api.trusted.com', 'cdn.example.com']

def is_safe_url(url):
    try:
        parsed = urlparse(url)
        if parsed.scheme not in ['http', 'https']:
            return False
        if parsed.hostname not in ALLOWED_HOSTS:
            return False
        if parsed.port and parsed.port not in [80, 443]:
            return False
        return True
    except:
        return False

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    
    if not is_safe_url(url):
        return jsonify({{""error"": ""URL not allowed""}}), 400
    
    response = requests.get(url, allow_redirects=False, timeout=5)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
54,Unsafe Consumption of APIs,No Input Validation,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/user-info/<username>')
def get_external_user(username):
    response = requests.get(f'https://external-api.com/users/{{username}}')
    user_data = response.json()
    database.save_user(user_data)
    return jsonify(user_data)

if __name__ == '__main__':
    app.run()"
55,Broken Object Property Level Authorization,Sensitive Data Exposure,Error,"from flask import Flask, jsonify
app = Flask(__name__)

users = {{
    1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""password_hash"": ""abc123"", ""ssn"": ""123-45-6789""}}
}}

@app.route('/user/<int:user_id>', methods=['GET'])
def get_user(user_id):
    return jsonify(users.get(user_id, {{}}))

if __name__ == '__main__':
    app.run()"
56,Broken Authentication,Secure Authentication Implementation,Good,"from flask import Flask, request, jsonify
from flask_limiter import Limiter
from flask_limiter.util import get_remote_address
import os

app = Flask(__name__)
app.secret_key = os.environ.get('SECRET_KEY')
limiter = Limiter(app, key_func=get_remote_address)

@app.route('/login', methods=['POST'])
@limiter.limit(""5 per minute"")
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    
    user = authenticate_user(username, password)
    if user:
        return jsonify({{""token"": create_jwt_token(user)}})
    return jsonify({{""error"": ""Invalid credentials""}}), 401

if __name__ == '__main__':
    app.run()"
57,Security Misconfiguration,Secure Configuration,Good,"from flask import Flask
import os
app = Flask(__name__)

app.config['SECRET_KEY'] = os.environ.get('SECRET_KEY')
app.config['DEBUG'] = False
app.config['TESTING'] = False

@app.after_request
def add_security_headers(response):
    response.headers['X-Content-Type-Options'] = 'nosniff'
    response.headers['X-Frame-Options'] = 'DENY'
    response.headers['X-XSS-Protection'] = '1; mode=block'
    response.headers['Strict-Transport-Security'] = 'max-age=31536000; includeSubDomains'
    response.headers['Content-Security-Policy'] = ""default-src 'self'""
    return response

@app.route('/')
def home():
    return ""Hello World""

if __name__ == '__main__':
    app.run(host='127.0.0.1')"
58,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@example.com""}},
         2: {{""name"": ""Bob"", ""email"": ""bob@example.com""}}}}
api_keys = {{""key_alice"": 1, ""key_bob"": 2}}

def get_user_from_token(token):
    return api_keys.get(token)

@app.route('/user/<int:user_id>', methods=['GET'])
def get_user(user_id):
    token = request.headers.get('Authorization')
    if not token:
        return jsonify({{""error"": ""Missing authorization""}}), 401
    
    requesting_user = get_user_from_token(token)
    if requesting_user != user_id:
        return jsonify({{""error"": ""Unauthorized""}}), 403
    
    user = users.get(user_id)
    if user:
        return jsonify(user)
    return jsonify({{""error"": ""Not found""}}), 404

if __name__ == '__main__':
    app.run()"
59,Security Misconfiguration,Using Default Secret Key,Error,"from flask import Flask, session

app = Flask(__name__)
app.secret_key = 'defaultsecret'  # This should be a strong, random value

@app.route('/')
def home():
    session['user'] = 'admin'
    return ""Welcome to the home page!""

if __name__ == '__main__':
    app.run(host='0.0.0.0', port=5000)"
60,Broken Object Property Level Authorization,Mass Assignment,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""role"": ""user"", ""balance"": 100}}}}

@app.route('/user/<int:user_id>', methods=['PUT'])
def update_user(user_id):
    if user_id in users:
        users[user_id].update(request.json)
        return jsonify({{""success"": True}})
    return jsonify({{""error"": ""Not found""}}), 404

if __name__ == '__main__':
    app.run()"
61,Server Side Request Forgery,SSRF with Redirects,Error,"from flask import Flask, request, jsonify
import urllib.request
app = Flask(__name__)

@app.route('/proxy', methods=['GET'])
def proxy():
    url = request.args.get('url')
    with urllib.request.urlopen(url) as response:
        return response.read()

if __name__ == '__main__':
    app.run()"
62,Server Side Request Forgery,Basic SSRF,Error,"from flask import Flask, request, jsonify
import requests
app = Flask(__name__)

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    response = requests.get(url)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
63,Broken Object Property Level Authorization,Unvalidated Property Update,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

products = {{1: {{""name"": ""Item"", ""price"": 100, ""discount"": 0}}}}

@app.route('/product/<int:id>', methods=['PATCH'])
def update_product(id):
    for key, value in request.json.items():
        products[id][key] = value
    return jsonify(products[id])

if __name__ == '__main__':
    app.run()"
64,Unsafe Consumption of APIs,Trusting External Data,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/product/<id>')
def get_product(id):
    response = requests.get(f'https://partner-api.com/products/{{id}}')
    product = response.json()
    
    # Directly using external data in SQL
    database.execute(f""INSERT INTO products VALUES ('{{product['name']}}', {{product['price']}})"")
    return jsonify(product)

if __name__ == '__main__':
    app.run()"
65,Broken Object Level Authorization,Missing Role-Based Access Control,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

users = {}

@app.route('/api/user/<int:user_id>', methods=['DELETE'])
def delete_user(user_id):
    if user_id in users:
        del users[user_id]
        return jsonify({""success"": ""Deleted""})
    return jsonify({""error"": ""Not found""}), 404

if __name__ == '__main__':
    app.run()"
66,Unsafe Consumption of APIs,No Input Validation,Error,"from flask import Flask, jsonify
import requests
app = Flask(__name__)

@app.route('/user-info/<username>')
def get_external_user(username):
    response = requests.get(f'https://external-api.com/users/{{username}}')
    user_data = response.json()
    database.save_user(user_data)
    return jsonify(user_data)

if __name__ == '__main__':
    app.run()"
67,Broken Object Property Level Authorization,Proper Field Filtering,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

ALLOWED_UPDATE_FIELDS = ['name', 'email']

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""role"": ""user""}}}}

@app.route('/user/<int:user_id>', methods=['PUT'])
def update_user(user_id):
    if user_id not in users:
        return jsonify({{""error"": ""Not found""}}), 404
    
    update_data = {{k: v for k, v in request.json.items() if k in ALLOWED_UPDATE_FIELDS}}
    users[user_id].update(update_data)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
68,Broken Object Level Authorization,Direct Object Reference Without Auth,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

database = {}

@app.route('/profile/<int:user_id>', methods=['DELETE'])
def delete_profile(user_id):
    if user_id in database:
        del database[user_id]
        return jsonify({""success"": ""Deleted""})
    return jsonify({""error"": ""Not found""}), 404

if __name__ == '__main__':
    app.run()"
69,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@example.com""}},
         2: {{""name"": ""Bob"", ""email"": ""bob@example.com""}}}}
api_keys = {{""key_alice"": 1, ""key_bob"": 2}}

def get_user_from_token(token):
    return api_keys.get(token)

@app.route('/user/<int:user_id>', methods=['GET'])
def get_user(user_id):
    token = request.headers.get('Authorization')
    if not token:
        return jsonify({{""error"": ""Missing authorization""}}), 401
    
    requesting_user = get_user_from_token(token)
    if requesting_user != user_id:
        return jsonify({{""error"": ""Unauthorized""}}), 403
    
    user = users.get(user_id)
    if user:
        return jsonify(user)
    return jsonify({{""error"": ""Not found""}}), 404

if __name__ == '__main__':
    app.run()"
70,Server Side Request Forgery,SSRF with POST Requests,Good,"from flask import Flask, request, jsonify
import requests
from urllib.parse import urlparse

app = Flask(__name__)

# Define a whitelist of allowed domains
ALLOWED_DOMAINS = ['example.com', 'api.example.com']

def is_url_allowed(url):
    parsed_url = urlparse(url)
    if parsed_url.scheme not in ['http', 'https']:
        return False
    if parsed_url.hostname not in ALLOWED_DOMAINS:
        return False
    return True

@app.route('/post', methods=['POST'])
def post_fetch():
    url = request.json.get('url')
    data = request.json.get('data', {})
    
    if not url:
        return jsonify({'error': 'No URL provided'}), 400
    
    if not is_url_allowed(url):
        return jsonify({'error': 'URL is not allowed'}), 403

    try:
        response = requests.post(url, data=data, allow_redirects=False)
        return jsonify({'content': response.text})
    except Exception as e:
        return jsonify({'error': str(e)}), 500

if __name__ == '__main__':
    app.run(debug=True)"
71,Broken Object Property Level Authorization,Proper Field Filtering,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

ALLOWED_UPDATE_FIELDS = ['name', 'email']

users = {{1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""role"": ""user""}}}}

@app.route('/user/<int:user_id>', methods=['PUT'])
def update_user(user_id):
    if user_id not in users:
        return jsonify({{""error"": ""Not found""}}), 404
    
    update_data = {{k: v for k, v in request.json.items() if k in ALLOWED_UPDATE_FIELDS}}
    users[user_id].update(update_data)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
72,Unrestricted Resource Consumption,Missing Pagination,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/items', methods=['GET'])
def get_all_items():
    items = database.get_all_items()
    return jsonify(items)

if __name__ == '__main__':
    app.run()"
73,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

records = {{1: {{""owner_id"": 1, ""data"": ""Private""}},
           2: {{""owner_id"": 2, ""data"": ""Secret""}}}}

def get_current_user():
    token = request.headers.get('Authorization')
    return verify_token(token)

@app.route('/record/<int:record_id>', methods=['PUT'])
def update_record(record_id):
    current_user = get_current_user()
    if not current_user:
        return jsonify({{""error"": ""Unauthorized""}}), 401
    
    record = records.get(record_id)
    if not record:
        return jsonify({{""error"": ""Not found""}}), 404
    
    if record['owner_id'] != current_user['id']:
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    records[record_id].update(request.json)
    return jsonify({{""success"": ""Updated""}})

if __name__ == '__main__':
    app.run()"
74,Broken Object Level Authorizatio,Missing Role-Based Access Control,Good,"from flask import Flask, request, jsonify

app = Flask(__name__)

# Mock user data
users = {
    1: {""name"": ""Alice"", ""email"": ""alice@example.com""},
    2: {""name"": ""Bob"", ""email"": ""bob@example.com""}
}

# Mock admin check function
def is_admin():
    # For demonstration, assume user is determined via request header
    # In real applications, use proper authentication mechanisms
    auth_header = request.headers.get('Authorization')
    return auth_header == 'Bearer admin-token'

@app.route('/user/<int:user_id>', methods=['DELETE'])
def delete_user(user_id):
    if not is_admin():
        return jsonify({""error"": ""Unauthorized""}), 403
    
    if user_id in users:
        del users[user_id]
        return jsonify({""success"": ""User deleted successfully""})
    else:
        return jsonify({""error"": ""User not found""}), 404

if __name__ == '__main__':
    app.run(debug=True)"
75,Improper Inventory Management,Insecure Direct Object Reference (IDOR),Error,"from flask import Flask, request, jsonify

app = Flask(__name__)

inventory = {
    'item1': 100,
    'item2': 50,
    'item3': 75
}

@app.route('/get_inventory/<item_name>', methods=['GET'])
def get_inventory(item_name):
    if item_name in inventory:
        return jsonify({'item_name': item_name, 'quantity': inventory[item_name]}), 200
    else:
        return jsonify({'error': 'Item not found in inventory'}), 404

if __name__ == '__main__':
    app.run(debug=True)"
76,Unrestricted Resource Consumption,Unrestricted File Upload,Error,"from flask import Flask, request
app = Flask(__name__)

@app.route('/upload', methods=['POST'])
def upload():
    file = request.files['file']
    file.save(f'/uploads/{{file.filename}}')
    return ""Uploaded""

if __name__ == '__main__':
    app.run()"
77,Broken Function Level Authorization,Predictable Admin URL,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/admin_panel', methods=['GET'])
def admin_panel():
    return jsonify(get_admin_data())

@app.route('/admin_panel/config', methods=['POST'])
def update_config():
    return jsonify(update_system_config())

if __name__ == '__main__':
    app.run()"
78,Unrestricted Access to Sensitive Business Flows,Unprotected Financial Operation,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/transfer', methods=['POST'])
def transfer_money():
    from_account = request.json['from']
    to_account = request.json['to']
    amount = request.json['amount']
    
    execute_transfer(from_account, to_account, amount)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
79,Broken Object Level Authorization,Direct Object Reference Without Auth,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

profiles = {1: {""owner"": 1, ""content"": ""Private data""},
              2: {""owner"": 2, ""content"": ""Secret info""}}

@app.route('/user/<int:id>', methods=['PUT'])
def update_document(id):
    if id in profiles:
        profiles[id].update(request.json)
        return jsonify({""success"": ""Updated""})
    return jsonify({""error"": ""Not found""}), 404

if __name__ == '__main__':
    app.run(debug=True)"
80,Broken Function Level Authorization,No Authorization Check,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/admin/users', methods=['GET'])
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
81,Security Misconfiguration,Secure Configuration,Good,"from flask import Flask, jsonify
import os
import logging
app = Flask(__name__)

app.config['SECRET_KEY'] = os.environ.get('SECRET_KEY')
logging.basicConfig(level=logging.ERROR)

@app.errorhandler(Exception)
def handle_error(e):
    logging.error(f""Error: {{e}}"")
    return jsonify({{""error"": ""An error occurred""}}), 500

@app.route('/user/<int:id>')
def get_user(id):
    user = database.get_user(id)
    return jsonify(user)

if __name__ == '__main__':
    app.run()"
82,Broken Function Level Authorization,Missing Role Check,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/api/settings', methods=['PUT'])
def update_settings():
    settings = request.json
    database.update_settings(settings)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
83,Unrestricted Resource Consumption,Unrestricted Loop in a Route,Good,"from flask import Flask, request, abort

app = Flask(__name__)

@app.route('/compute')
def compute():
    try:
        # Get the iterations parameter and default to 1000 if not provided
        iterations = int(request.args.get('iterations', '1000'))
    except ValueError:
        return ""Invalid input: iterations must be an integer"", 400

    # Limit the maximum number of iterations to 10,000
    max_iterations = 10000
    if iterations < 1 or iterations > max_iterations:
        return f""Iterations must be between 1 and {max_iterations}"", 400

    result = 0
    for i in range(iterations):
        result += i * i

    return f""Computed sum of squares: {result}""

if __name__ == '__main__':
    app.run(debug=True)"
84,Broken Function Level Authorization,No Authorization Check,Error,"from flask import Flask, request, jsonify, session

app = Flask(__name__)
app.secret_key = 'supersecretkey'

# Simulating a user database
users = {
    'user1': {'username': 'user1', 'password': 'password1', 'role': 'user'},
    'admin': {'username': 'admin', 'password': 'adminpass', 'role': 'admin'}
}

# Simulated login route
@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    user = users.get(username)
    if user and user['password'] == password:
        session['username'] = username
        return jsonify({'message': 'Logged in successfully!'})
    return jsonify({'message': 'Invalid credentials!'}), 401

# Vulnerable admin function without role check
@app.route('/admin/delete_user', methods=['POST'])
def delete_user():
    if 'username' not in session:
        return jsonify({'message': 'Unauthorized!'}), 401

    user_to_delete = request.json.get('username')
    if user_to_delete in users:
        del users[user_to_delete]
        return jsonify({'message': f'User {user_to_delete} deleted successfully!'})
    return jsonify({'message': 'User not found!'}), 404

if __name__ == '__main__':
    app.run(debug=True)"
85,Unrestricted Resource Consumption,Unrestricted Database Queries,Good,"from flask import Flask, request, jsonify
from flask_sqlalchemy import SQLAlchemy

app = Flask(__name__)
app.config['SQLALCHEMY_DATABASE_URI'] = 'sqlite:///example.db'
db = SQLAlchemy(app)

class User(db.Model):
    id = db.Column(db.Integer, primary_key=True)
    name = db.Column(db.String(80), nullable=False)

@app.route('/users')
def get_users():
    try:
        limit = int(request.args.get('limit', '100'))  # default to 100 if not provided
        MAX_LIMIT = 1000  # define a maximum limit
        if limit > MAX_LIMIT:
            limit = MAX_LIMIT
        users = User.query.limit(limit).all()
        return jsonify({""users"": [user.name for user in users]})
    except ValueError:
        return jsonify({""error"": ""Invalid limit value""}), 400

if __name__ == '__main__':
    app.run(debug=True)"
86,Server Side Request Forgery,SSRF with POST Requests,Error,"from flask import Flask, request, jsonify
import requests

app = Flask(__name__)

@app.route('/post')
def post_fetch():
    url = request.args.get('url')
    data = request.args.get('data', {})
    if not url:
        return jsonify({'error': 'No URL provided'}), 400
    try:
        response = requests.post(url, data=data)
        return jsonify({'content': response.text})
    except Exception as e:
        return jsonify({'error': str(e)}), 500

if __name__ == '__main__':
    app.run(debug=True)"
87,Broken Object Property Level Authorization,Lack of Authorization Check,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

# Dummy data (normally would come from a database)
users = [
    {'id': 1, 'username': 'alice', 'role': 'admin'},
    {'id': 2, 'username': 'bob', 'role': 'user'}
]

@app.route('/api/users/<int:user_id>', methods=['GET'])
def get_user(user_id):
    # Assume user_id comes from the request
    user = next((user for user in users if user['id'] == user_id), None)

    if not user:
        return jsonify({'error': 'User not found'}), 404

    # No authorization check here!
    return jsonify({'username': user['username']}), 200

if __name__ == '__main__':
    app.run(debug=True)"
88,Broken Authentication,Secure Authentication Implementation,Good,"from flask import Flask, request, jsonify
from werkzeug.security import generate_password_hash, check_password_hash
import os
app = Flask(__name__)
app.secret_key = os.environ.get('SECRET_KEY')

users_db = {}

@app.route('/register', methods=['POST'])
def register():
    username = request.json.get('username')
    password = request.json.get('password')
    
    if len(password) < 12:
        return jsonify({{""error"": ""Password must be at least 12 characters""}}), 400
    
    hashed = generate_password_hash(password)
    users_db[username] = hashed
    return jsonify({{""success"": True}})

@app.route('/login', methods=['POST'])
def login():
    username = request.json.get('username')
    password = request.json.get('password')
    
    stored_hash = users_db.get(username)
    if stored_hash and check_password_hash(stored_hash, password):
        token = generate_secure_token(username)
        return jsonify({{""token"": token}})
    return jsonify({{""error"": ""Invalid credentials""}}), 401

if __name__ == '__main__':
    app.run()"
89,Broken Object Property Level Authorization,Proper Field Filtering,Good,"from flask import Flask, jsonify
app = Flask(__name__)

SAFE_FIELDS = ['name', 'email', 'created_at']

users = {{
    1: {{""name"": ""Alice"", ""email"": ""alice@test.com"", ""password_hash"": ""abc"", ""ssn"": ""123""}}
}}

@app.route('/user/<int:user_id>', methods=['GET'])
def get_user(user_id):
    user = users.get(user_id)
    if user:
        safe_user = {{k: v for k, v in user.items() if k in SAFE_FIELDS}}
        return jsonify(safe_user)
    return jsonify({{""error"": ""Not found""}}), 404

if __name__ == '__main__':
    app.run()"
90,Unrestricted Access to Sensitive Business Flows,Unrestricted Data Export,Error,"from flask import Flask, request, send_file
app = Flask(__name__)

@app.route('/export', methods=['GET'])
def export_data():
    format = request.args.get('format', 'csv')
    data = database.export_all_data()
    return send_file(create_export(data, format))

if __name__ == '__main__':
    app.run()"
91,Unsafe Consumption of APIs,Insufficient Authentication Check,Good,"from flask import Flask, request, jsonify
import requests
import re

app = Flask(__name__)

# Define a function to validate the API key
def validate_api_key(api_key):
    # Implement your API key validation logic here
    # For example, you might check against a list of valid keys or a database
    return api_key == 'your-valid-api-key'

# Define a function to sanitize user input
def sanitize_input(user_input):
    # Perform input sanitization to prevent injection attacks
    if not isinstance(user_input, str):
        raise ValueError(""Invalid input type"")
    sanitized_input = re.sub(r'[^\w\s]', '', user_input)  # Remove non-alphanumeric characters
    return sanitized_input

@app.route('/secure_api', methods=['POST'])
def secure_api():
    api_key = request.headers.get('X-API-Key')
    if not api_key or not validate_api_key(api_key):
        return jsonify({'error': 'Unauthorized access'}), 401

    user_input = request.json.get('user_input')
    if user_input is None:
        return jsonify({'error': 'No input provided'}), 400

    try:
        sanitized_input = sanitize_input(user_input)
    except ValueError as e:
        return jsonify({'error': str(e)}), 400

    # Assume this endpoint consumes an authenticated external API
    try:
        response = requests.post(
            'https://external.api.com/data',
            headers={'X-API-Key': api_key},
            json={'user_input': sanitized_input}
        )
        response.raise_for_status()  # Raise an exception for HTTP errors
    except requests.RequestException as e:
        return jsonify({'error': 'External API request failed', 'details': str(e)}), 500

    return jsonify(response.json()), 200"
92,Server Side Request Forgery,URL Validation and Allowlist,Good,"from flask import Flask, request, jsonify
import requests
import ipaddress
from urllib.parse import urlparse
import socket
app = Flask(__name__)

def is_internal_ip(hostname):
    try:
        ip = socket.gethostbyname(hostname)
        ip_obj = ipaddress.ip_address(ip)
        return ip_obj.is_private or ip_obj.is_loopback or ip_obj.is_reserved
    except:
        return True

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    parsed = urlparse(url)
    
    if is_internal_ip(parsed.hostname):
        return jsonify({{""error"": ""Internal URLs not allowed""}}), 400
    
    response = requests.get(url, allow_redirects=False, timeout=5)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
93,Server Side Request Forgery,URL Validation and Allowlist,Good,"from flask import Flask, request, jsonify
import requests
import ipaddress
from urllib.parse import urlparse
import socket
app = Flask(__name__)

def is_internal_ip(hostname):
    try:
        ip = socket.gethostbyname(hostname)
        ip_obj = ipaddress.ip_address(ip)
        return ip_obj.is_private or ip_obj.is_loopback or ip_obj.is_reserved
    except:
        return True

@app.route('/fetch', methods=['POST'])
def fetch_url():
    url = request.json.get('url')
    parsed = urlparse(url)
    
    if is_internal_ip(parsed.hostname):
        return jsonify({{""error"": ""Internal URLs not allowed""}}), 400
    
    response = requests.get(url, allow_redirects=False, timeout=5)
    return jsonify({{""content"": response.text}})

if __name__ == '__main__':
    app.run()"
94,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

records = {{1: {{""owner_id"": 1, ""data"": ""Private""}},
           2: {{""owner_id"": 2, ""data"": ""Secret""}}}}

def get_current_user():
    token = request.headers.get('Authorization')
    return verify_token(token)

@app.route('/record/<int:record_id>', methods=['PUT'])
def update_record(record_id):
    current_user = get_current_user()
    if not current_user:
        return jsonify({{""error"": ""Unauthorized""}}), 401
    
    record = records.get(record_id)
    if not record:
        return jsonify({{""error"": ""Not found""}}), 404
    
    if record['owner_id'] != current_user['id']:
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    records[record_id].update(request.json)
    return jsonify({{""success"": ""Updated""}})

if __name__ == '__main__':
    app.run()"
95,Security Misconfiguration,Insecure HTTP Headers,Good,"from flask import Flask

app = Flask(__name__)

@app.after_request
def apply_security_headers(response):
    response.headers['X-Frame-Options'] = 'DENY'
    response.headers['X-Content-Type-Options'] = 'nosniff'
    response.headers['Content-Security-Policy'] = ""default-src 'self'""
    return response

@app.route('/')
def home():
    return ""Welcome to the home page!""

if __name__ == '__main__':
    app.run(host='0.0.0.0', port=5000)"
96,Broken Authentication,Secure Authentication Implementation,Good,"from flask import Flask, request, session, jsonify
from datetime import timedelta
import os

app = Flask(__name__)
app.secret_key = os.environ.get('SECRET_KEY')
app.config['SESSION_COOKIE_SECURE'] = True
app.config['SESSION_COOKIE_HTTPONLY'] = True
app.config['SESSION_COOKIE_SAMESITE'] = 'Lax'
app.config['PERMANENT_SESSION_LIFETIME'] = timedelta(hours=1)

@app.route('/login', methods=['POST'])
def login():
    if authenticate(request.json):
        session.permanent = True
        session['user_id'] = request.json['user_id']
        session.regenerate()
        return jsonify({{""success"": True}})
    return jsonify({{""error"": ""Failed""}}), 401

if __name__ == '__main__':
    app.run()"
97,Broken Function Level Authorization,Predictable Admin URL,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/admin_panel', methods=['GET'])
def admin_panel():
    return jsonify(get_admin_data())

@app.route('/admin_panel/config', methods=['POST'])
def update_config():
    return jsonify(update_system_config())

if __name__ == '__main__':
    app.run()"
98,Broken Object Level Authorization,Proper Authorization Check,Good,"from flask import Flask, request, jsonify
app = Flask(__name__)

records = {{1: {{""owner_id"": 1, ""data"": ""Private""}},
           2: {{""owner_id"": 2, ""data"": ""Secret""}}}}

def get_current_user():
    token = request.headers.get('Authorization')
    return verify_token(token)

@app.route('/record/<int:record_id>', methods=['PUT'])
def update_record(record_id):
    current_user = get_current_user()
    if not current_user:
        return jsonify({{""error"": ""Unauthorized""}}), 401
    
    record = records.get(record_id)
    if not record:
        return jsonify({{""error"": ""Not found""}}), 404
    
    if record['owner_id'] != current_user['id']:
        return jsonify({{""error"": ""Forbidden""}}), 403
    
    records[record_id].update(request.json)
    return jsonify({{""success"": ""Updated""}})

if __name__ == '__main__':
    app.run()"
99,Broken Function Level Authorization,No Authorization Check,Error,"from flask import Flask, jsonify
app = Flask(__name__)

@app.route('/admin/users', methods=['GET'])
def get_all_users():
    users = database.get_all_users()
    return jsonify(users)

@app.route('/admin/delete/<int:user_id>', methods=['DELETE'])
def delete_user(user_id):
    database.delete_user(user_id)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
100,Server Side Request Forgery,SSRF with Redirects,Error,"from flask import Flask, request, jsonify
import requests

app = Flask(__name__)

@app.route('/redirect')
def redirect_fetch():
    url = request.args.get('url')
    if not url:
        return jsonify({'error': 'No URL provided'}), 400
    try:
        response = requests.get(url, allow_redirects=True)
        return jsonify({'content': response.text})
    except Exception as e:
        return jsonify({'error': str(e)}), 500

if __name__ == '__main__':
    app.run(debug=True)"
101,Unrestricted Access to Sensitive Business Flows,Unprotected Financial Operation,Error,"from flask import Flask, request, jsonify
app = Flask(__name__)

@app.route('/transfer', methods=['POST'])
def transfer_money():
    from_account = request.json['from']
    to_account = request.json['to']
    amount = request.json['amount']
    
    execute_transfer(from_account, to_account, amount)
    return jsonify({{""success"": True}})

if __name__ == '__main__':
    app.run()"
102,Server Side Request Forgery,SSRF with Redirects,Error,"from flask import Flask, request, jsonify
import urllib.request
app = Flask(__name__)

@app.route('/proxy', methods=['GET'])
def proxy():
    url = request.args.get('url')
    with urllib.request.urlopen(url) as response:
        return response.read()

if __name__ == '__main__':
    app.run()"
103,Security Misconfiguration,Secure Configuration,Good,"from flask import Flask
import os
app = Flask(__name__)

app.config['SECRET_KEY'] = os.environ.get('SECRET_KEY')
app.config['DEBUG'] = False
app.config['TESTING'] = False

@app.after_request
def add_security_headers(response):
    response.headers['X-Content-Type-Options'] = 'nosniff'
    response.headers['X-Frame-Options'] = 'DENY'
    response.headers['X-XSS-Protection'] = '1; mode=block'
    response.headers['Strict-Transport-Security'] = 'max-age=31536000; includeSubDomains'
    response.headers['Content-Security-Policy'] = ""default-src 'self'""
    return response

@app.route('/')
def home():
    return ""Hello World""

if __name__ == '__main__':
    app.run(host='127.0.0.1')"
